SubjectID,problems_attempted,total_attempts,total_solved,completion_rate,avg_attempts,std_attempts,max_retries,min_attempts,proportion_reattempts,success_rate,first_attempt_success_rate,avg_score,std_score,compile_error_rate,active_days,avg_events_per_day,total_events,X-Grade,Cluster
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,30,133,30,1.0,4.433333333333334,6.99,39,1,0.774,1.0,0.3,0.361,0.424,0.492,66,11.83,781,59.38,1
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,30,161,29,0.967,5.366666666666666,6.2,22,1,0.814,0.967,0.333,0.402,0.42,0.302,63,10.71,675,97.0,1
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,20,77,15,0.75,3.85,3.36,15,1,0.74,0.75,0.3,0.385,0.373,0.367,66,6.89,455,59.46,0
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,30,190,29,0.967,6.333333333333333,9.0,45,1,0.842,0.967,0.333,0.436,0.405,0.325,67,13.75,921,73.05,1
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,29,215,26,0.897,7.413793103448276,5.74,22,1,0.865,0.897,0.103,0.428,0.372,0.258,69,14.13,975,73.13,1
048fce7bd5670d2ce6215f41856aea059973fb280ce1067c7896d7e982dce89a,30,148,30,1.0,4.933333333333334,5.42,26,1,0.797,1.0,0.333,0.545,0.453,0.347,70,9.73,681,32.25,1
04ed28ab2b2a010c686bf190a5f001dfdc7d9ec41859048d64d141b976f46d31,30,78,30,1.0,2.6,1.9,7,1,0.615,1.0,0.467,0.583,0.457,0.347,63,4.79,302,76.99,2
0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,25,228,21,0.84,9.12,9.0,34,1,0.89,0.84,0.08,0.336,0.382,0.392,63,19.38,1221,70.2,3
072db31ce670255297c5d67fd00068faf81a7f50223b5a5af0f555aa69815fe0,30,31,30,1.0,1.0333333333333334,0.18,2,1,0.032,1.0,0.967,0.833,0.376,0.167,62,2.13,132,56.25,2
07445b2803cfbba249af9f27deaabc1c2aa5fd49745cd11637d45d1e8f939c2b,30,134,30,1.0,4.466666666666667,6.11,24,1,0.776,1.0,0.6,0.601,0.42,0.299,65,8.68,564,51.75,1
07c8b5fb98feb87d3ee0c873b94852d521cf159de84010db6455466d6e6b52cf,30,157,29,0.967,5.233333333333333,6.1,28,1,0.809,0.967,0.3,0.424,0.422,0.415,65,9.85,640,68.25,1
080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,30,248,29,0.967,8.266666666666667,11.49,49,1,0.879,0.967,0.333,0.444,0.416,0.391,66,12.26,809,56.19,1
08f436c2b6962c5a4e083d443715d94da0d3a54c21d025783f5da882205b521a,29,176,29,1.0,6.068965517241379,8.89,42,1,0.835,1.0,0.379,0.474,0.408,0.339,62,11.63,721,53.0,1
090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,30,134,30,1.0,4.466666666666667,4.26,21,1,0.776,1.0,0.267,0.437,0.449,0.442,65,10.31,670,60.46,1
091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,30,176,30,1.0,5.866666666666666,6.12,25,1,0.83,1.0,0.133,0.425,0.434,0.366,63,13.0,819,68.44,1
092f648c8f4deefbd5a15a17825410afefdde05a559fea8c487245797e3f3b27,30,227,23,0.767,7.566666666666666,7.69,31,1,0.868,0.767,0.2,0.298,0.397,0.525,69,15.29,1055,90.25,3
0971feccb4757660518949d4320c4ef50975fc055f4083ae75dc9a362f5d8a46,30,153,30,1.0,5.1,5.7,19,1,0.804,1.0,0.367,0.394,0.396,0.324,68,10.62,722,82.21,1
0973288c77f97c9245c444f90526bc6137bc40b48200197fd5bb6134f618f165,30,251,30,1.0,8.366666666666667,11.74,57,1,0.88,1.0,0.2,0.482,0.373,0.257,66,11.89,785,49.89,3
097f7a6103e61039a9dadac5e7d7eb65aa451121de8b30ad2a147c5aafb440c7,30,319,29,0.967,10.633333333333333,11.55,44,1,0.906,0.967,0.133,0.35,0.373,0.37,63,21.97,1384,82.19,3
